Year,1983,1984,1985
1,0,0,0
2,0,0,0
3,0,0,0
4,NA,NA,NA
5,NA,NA,NA
6,0,0,0
7,0,28.3,14.15
8,0,0,0
9,0,0,13.2
10,3.3,0,6.6
11,25,0,12.5
12,30.2,0,15.1
13,19.7,11.4,15.55
14,71.6,54.1,62.85
15,93,20.9,56.95
16,20.5,13.9,17.2
17,9,41.4,25.2
18,10.4,48.9,29.65
19,12.4,36.3,24.35
20,22.6,70,46.3
21,72,41.3,56.65
22,58.2,28.2,43.2
23,42.4,21,31.7
24,100.6,27.8,64.2
25,25.3,25.3,25.3
26,18.9,38.4,28.65
27,16.2,21.1,18.65
28,5.7,0,2.85
29,0,0,0
30,0,0,0
31,0,0,0
32,NA,NA,NA
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
