"","Name","Region","Timing","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"1","AbaBikila","Ibinat","Late","52","75","75","75","37","75","75","69","75","53","75","75","61","75","75","75","75","75","75","75","75","54","75","75","75","75","72","63","75","75","75","75","65","75","75","75","63"
"2","Abara","Shebel Berenta","Late","54","54","65","75","27","75","75","60","66","33","75","75","72","75","75","75","75","75","75","71","75","50","75","74","75","75","75","70","75","75","75","75","49","75","75","75","75"
"3","Abarwuha","Goncha Siso Enesie","Late","54","59","72","75","54","75","75","72","75","50","50","75","75","75","75","75","75","75","75","75","75","54","75","50","75","75","75","75","69","75","75","75","75","75","75","75","75"
"4","Abaselima","Shebel Berenta","Late","53","52","67","75","55","75","75","75","75","50","75","75","73","75","75","75","75","75","75","73","75","55","75","75","75","75","75","68","75","75","75","75","54","75","75","75","75"
"5","Abina","Ibinat","Late","51","57","75","75","31","75","73","56","75","53","50","75","60","75","75","75","75","75","75","75","75","54","75","75","75","75","68","66","75","75","75","70","65","75","75","65","66"
"6","AbrahaAtsbaha","KinteAwelo","Late","41","26","45","75","13","75","50","50","75","50","71","75","75","75","61","72","75","62","68","25","29","45","50","41","75","49","56","75","75","58","63","72","69","60","51","69","47"
"7","Abrekuy","Shebel Berenta","Late","54","55","75","75","62","75","75","75","75","60","75","75","75","75","75","75","75","75","75","73","75","70","75","74","75","75","75","64","75","75","75","75","39","75","75","75","75"
"8","AdekeAla","Samre","Late","36","51","61","75","52","75","44","52","75","50","75","75","67","75","75","75","75","75","50","45","61","68","75","75","75","73","75","75","58","74","69","67","46","75","61","69","72"
"9","Adekiney","Ganta-afeshum","Late","38","17","75","51","31","75","30","45","32","50","47","75","73","41","50","71","73","54","43","29","46","45","41","35","75","67","65","52","41","55","62","62","72","60","75","68","27"
"10","AderSeg","Ibinat","Late","52","75","75","75","37","75","75","69","75","53","75","75","61","75","75","75","75","75","75","75","75","54","75","75","75","75","72","63","75","75","75","75","65","75","75","75","63"
"11","Adibearj","Medebay-Zana","Late","75","75","75","75","75","75","69","54","75","75","75","75","75","75","75","75","75","75","75","72","75","56","74","75","75","75","75","75","75","75","72","75","75","75","75","75","75"
"12","AdiHa","KolaTembien","Late","69","49","75","75","45","75","64","50","60","55","75","75","75","64","75","75","75","71","66","59","57","51","75","45","75","75","66","58","74","75","63","64","74","75","56","62","75"
"13","AdiKisandid","KinteAwelo","Late","36","24","47","75","11","62","36","54","52","48","65","75","75","75","60","68","75","58","42","23","27","40","47","41","75","47","50","75","63","52","60","52","67","62","36","71","20"
"14","Adisalem","Enesie Sar Midir","Late","54","61","75","50","50","75","75","59","69","28","49","75","65","75","75","75","75","75","75","75","75","55","75","50","75","75","75","75","54","58","75","68","41","75","75","75","75"
"15","AdisAlemS","Samre","Late","36","51","61","75","52","75","44","52","75","50","75","75","67","75","75","75","75","75","50","45","61","68","75","75","75","73","75","75","58","74","69","67","46","75","61","69","72"
"16","AdisAlemW","WiereLahe","Late","33","70","75","75","39","75","67","50","75","65","75","75","75","38","50","75","75","63","59","63","73","50","64","62","75","62","45","56","65","75","65","75","74","64","73","75","42"
"17","Adiselam","Naeder-Adet","Late","75","75","75","75","75","75","75","60","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75"
"18","Adishimbirkti","Ofla","Late","34","0","67","45","13","50","46","43","70","30","46","50","53","62","74","72","75","53","50","75","40","34","67","75","75","58","40","50","55","50","60","50","7","50","54","62","59"
"19","AdisKigni","RayaAzebo","Late","27","0","48","35","16","50","63","34","50","41","50","61","53","60","50","75","58","42","50","57","53","23","54","75","75","60","53","50","50","50","50","25","0","50","56","61","66"
"20","Adiyikoro","Ahferom","Late","53","61","75","75","40","75","54","54","67","58","75","75","75","68","50","75","75","67","49","57","68","50","58","57","75","69","75","53","59","61","65","75","60","75","64","75","49"
"21","Adizata","Ahferom","Late","53","61","75","75","40","75","54","54","67","58","75","75","75","68","50","75","75","67","49","57","68","50","58","57","75","69","75","53","59","61","65","75","60","75","64","75","49"
"22","Adreb","Naeder-Adet","Late","75","75","75","75","75","75","75","59","75","67","75","75","75","63","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75"
"23","AgazenMeda","Goncha Siso Enesie","Late","54","59","75","75","54","75","75","75","75","25","59","73","75","75","75","75","75","75","75","75","75","50","75","50","75","75","75","73","69","75","75","75","66","75","75","75","75"
"24","Agazi","SaesiTsaedaemba","Late","28","44","60","49","29","64","33","37","33","50","48","75","72","30","50","73","71","61","43","25","22","43","60","25","75","55","52","53","61","49","70","55","68","56","43","68","37"
"25","Agbe","TanquaAbergele","Late","75","45","75","75","59","75","58","46","75","55","74","75","75","70","52","75","75","68","67","55","75","67","75","63","75","75","72","65","75","75","59","68","73","75","75","75","75"
